City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Oga,IT,46.4631,10.347,46.94,92,100,4.61,overcast clouds
322,Xuanwu,CN,32.069,118.8138,71.55,84,100,3.27,overcast clouds
323,Cintalapa,MX,16.6951,-93.7272,76.42,84,88,7.34,overcast clouds
324,Eyl,SO,7.9803,49.8164,76.41,80,62,20.4,broken clouds
325,Margate,GB,51.3813,1.3862,67.89,80,23,8.01,few clouds
326,Santa Maria,BR,-29.6842,-53.8069,57.97,83,7,5.5,clear sky
327,Churapcha,RU,62.0025,132.4325,45.68,72,100,3.29,overcast clouds
328,Nizhniy Kuranakh,RU,58.8353,125.4869,44.06,67,30,3.24,scattered clouds
329,General Roca,AR,-39.0333,-67.5833,61.63,30,76,14.61,broken clouds
330,Praxedis Guerrero,MX,31.3667,-106.0167,80.06,53,91,20.6,overcast clouds
331,Dom Pedrito,BR,-30.9828,-54.6731,56.28,88,10,7.23,clear sky
332,Singarayakonda,IN,15.25,80.0333,82.33,79,99,6.2,overcast clouds
333,Dolores,AR,-36.3132,-57.6792,53.06,88,100,7.38,overcast clouds
334,Vanimo,PG,-2.6741,141.3028,80.94,80,55,5.06,broken clouds
335,Port Hedland,AU,-20.3167,118.5667,68.05,52,40,8.05,scattered clouds
336,Saint-Prosper,CA,46.2117,-70.4811,62.89,71,38,8.28,scattered clouds
337,Gat,IL,31.61,34.7642,80.82,100,5,3.78,clear sky
338,Muscatine,US,41.4667,-91.1335,87.6,40,0,6.91,clear sky
339,Asfi,MA,32.2994,-9.2372,72.57,73,60,14.92,broken clouds
340,Lokoja,NG,7.8024,6.743,73.49,96,100,3.18,overcast clouds
341,Hambantota,LK,6.1241,81.1185,77.41,83,100,15.43,overcast clouds
342,Voi,KE,-3.3945,38.563,65.97,83,17,8.63,few clouds
343,Poya,NC,-21.35,165.15,71.87,77,82,6.44,broken clouds
344,Bredasdorp,ZA,-34.5322,20.0403,51.37,68,45,8.48,scattered clouds
345,Prieska,ZA,-29.6641,22.7474,61.86,48,100,3.8,overcast clouds
346,La Ronge,CA,55.1001,-105.2842,80.82,38,40,9.22,scattered clouds
