City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Simpang,ID,2022-08-31 21:47:49,-1.2667,104.0833,296.27,98,26,1.18
190,Severo-Kurilsk,RU,2022-08-31 21:47:50,50.6789,156.125,287.1,74,100,1.55
191,Bethel,US,2022-08-31 21:47:50,41.3712,-73.414,301.45,41,20,5.14
192,Isetskoye,RU,2022-08-31 21:47:51,56.4858,65.3226,289.16,89,4,3.39
193,Mocuba,MZ,2022-08-31 21:47:52,-16.8392,36.9856,292.67,65,100,2.02
194,Sinop,TR,2022-08-31 21:47:52,41.7711,34.8709,292.53,93,6,0.65
195,Brae,GB,2022-08-31 21:47:53,60.3964,-1.353,284.14,76,89,0.72
196,San Andres,CO,2022-08-31 21:45:25,12.5847,-81.7006,303.16,79,75,2.57
197,Sur,OM,2022-08-31 21:47:54,22.5667,59.5289,302.37,60,1,4.02
198,Komsomolskiy,UZ,2022-08-31 21:47:55,40.4272,71.7189,294.55,37,0,4.12
199,Port-Gentil,GA,2022-08-31 21:47:56,-0.7193,8.7815,298.13,88,40,5.14
200,Pafos,CY,2022-08-31 21:47:56,34.7667,32.4167,299.03,78,0,5.14
201,Kangaatsiaq,GL,2022-08-31 21:47:57,68.3065,-53.4641,277.21,86,100,7.15
202,Tezpur,IN,2022-08-31 21:47:58,26.6333,92.8,297.27,98,98,0.41
203,Emerald,AU,2022-08-31 21:47:58,-23.5333,148.1667,288.9,89,90,4.59
204,Akyab,MM,2022-08-31 21:48:00,20.15,92.9,300.42,82,100,1.29
205,Juneau,US,2022-08-31 21:48:00,58.3019,-134.4197,288.83,83,75,4.12
206,Ingham,US,2022-08-31 21:48:01,42.6,-84.3833,300.12,51,0,3.09
207,Demirci,TR,2022-08-31 21:48:02,39.0461,28.6589,293.01,76,0,1.24
208,Caravelas,BR,2022-08-31 21:48:03,-17.7125,-39.2481,292.24,78,98,3.91
209,Yellowknife,CA,2022-08-31 21:48:04,62.456,-114.3525,288.46,77,75,4.12
210,Matveyevka,RU,2022-08-31 21:48:05,52.15,56.1833,297.6,31,97,3.21
211,Olafsvik,IS,2022-08-31 21:48:05,64.8945,-23.7142,281.81,79,98,4.87
212,Esperance,AU,2022-08-31 21:48:08,-33.8667,121.9,283.97,80,45,2.57
